ARXIV,arXiv:2205.06709,https://arxiv.org/abs/2205.06709,,,,,,,,,,,,,,
SOURCE,hepdata: Table 3,https://doi.org/10.17182/hepdata.127302.v1/t3,,,,,,,,,,,,,,
DESCRIPTION,Mass distributions for the $\mu\tau$ channel.,,,,,,,,,,,,,,,
EXPERIMENT,CMS,,,,,,,,,,,,,,,
PROCESS,p p > \[Mu] \[Tau],,,,,,,,,,,,,,,
FINALSTATE,"{e[2],e[3]} | {e[3],e[2]}",,,,,,,,,,,,,,,
OBSERVABLE,"\!\(\*SubscriptBox[\(m\), \(\[Mu]\[Tau]\)]\)",,,,,,,,,,,,,,,
LUMINOSITY,138,,,,,,,,,,,,,,,
CM_ENERGY,13000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BINS_MLL,200,300,400,500,600,725,800,900,1000,1100,1200,1400,1700,2000,2400,2700
BINS_PT,0,Infinity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mll [GeV] LOW,mll [GeV] HIGH,NUM EVENTS,stat +-,BKG NUM EVENTS,BKG tot. error,tot. (sys+stat) error,,,,,,,,,,
200,250,5381,73.3553,5527.5,993.25,995.9551,,,,,,,,,,
250,300,4050,63.6396,4242.55,654.45,657.5369,,,,,,,,,,
300,350,2670,51.672,2812.15,399.29,402.6196,,,,,,,,,,
350,400,1764,42,1788.4,239.475,243.1302,,,,,,,,,,
400,450,1069,32.6956,1127.5,154.255,157.682,,,,,,,,,,
450,500,732,27.0555,725.65,103.88,107.3455,,,,,,,,,,
500,550,478,21.8632,494.45,51.195,55.668,,,,,,,,,,
550,600,312,17.6635,322.37,45.2,48.5288,,,,,,,,,,
600,650,236,15.3623,213.16,29.464,33.2284,,,,,,,,,,
650,725,198,14.0712,203.265,25.5938,29.2068,,,,,,,,,,
725,800,127,11.2694,127.0275,14.3663,18.2589,,,,,,,,,,
800,900,95,9.7468,89.895,11.888,15.3729,,,,,,,,,,
900,1000,42,6.4807,49.586,8.3067,10.5357,,,,,,,,,,
1000,1100,25,5,26.157,4.6114,6.8018,,,,,,,,,,
1100,1200,12,3.4641,15.153,2.2157,4.1121,,,,,,,,,,
1200,1300,6,2.4495,8.627,1.3758,2.8094,,,,,,,,,,
1300,1400,6,2.4495,5.3751,1.0515,2.6656,,,,,,,,,,
1400,1550,4,2,4.712,0.9117,2.198,,,,,,,,,,
1550,1700,2,1.4142,2.102,0.3757,1.4633,,,,,,,,,,
1700,1850,2,1.4142,1.3934,0.3096,1.4477,,,,,,,,,,
1850,2000,1,1,0.8839,0.3408,1.0565,,,,,,,,,,
2000,2200,1,1,0.422,0.1575,1.0123,,,,,,,,,,
2200,2400,2,1.4142,0.3258,0.1142,1.4188,,,,,,,,,,
2400,2700,0,0,0.36,0.1344,0.1344,,,,,,,,,,
2700,3000,0,0,0.284,0.102,0.102,,,,,,,,,,
