ARXIV,arXiv:2205.06709,https://arxiv.org/abs/2205.06709,,,,,,,,,,,,,,,
SOURCE,Figure 2c,http://cms-results.web.cern.ch/cms-results/public-results/publications/EXO-19-014/CMS-EXO-19-014_Figure_002-c.pdf,,,,,,,,,,,,,,,
DESCRIPTION,The invariant mass distribution of muon-tau events.,,,,,,,,,,,,,,,,
EXPERIMENT,CMS,,,,,,,,,,,,,,,,
PROCESS,p p > \[Mu] \[Tau],,,,,,,,,,,,,,,,
FINALSTATE,"{e[2],e[3]} | {e[3],e[2]}",,,,,,,,,,,,,,,,
OBSERVABLE,"\!\(\*SubscriptBox[\(m\), \(\[Mu]\[Tau]\)]\)",,,,,,,,,,,,,,,,
LUMINOSITY,138,,,,,,,,,,,,,,,,
CM_ENERGY,13000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BINS_MLL,200,300,400,500,600,725,800,900,1000,1100,1200,1400,1700,2000,2400,2700,3000
BINS_PT,0,Infinity,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mll [GeV] LOW,mll [GeV] HIGH,NUM EVENTS,stat +-,BKG NUM EVENTS,BKG tot. error,tot. (sys+stat) error,,,,,,,,,,,
200,250,5392,73.4302,5546.4583,1362.0417,1364.0196,,,,,,,,,,,
250,300,4076,63.8436,4276.2815,903.9734,906.2251,,,,,,,,,,,
300,350,2679,51.7591,2810.6375,540.7809,543.2522,,,,,,,,,,,
350,400,1786,42.2611,1808.8974,334.3026,336.9632,,,,,,,,,,,
400,450,1064,32.619,1120.7467,207.1253,209.6781,,,,,,,,,,,
450,500,729,27,721.6917,144.3383,146.8419,,,,,,,,,,,
500,550,479,21.8861,496.601,69.147,72.528,,,,,,,,,,,
550,600,315,17.7482,326.5748,62.8346,65.2931,,,,,,,,,,,
600,650,238,15.4272,215.3723,40.6208,43.4517,,,,,,,,,,,
650,725,199,14.1067,204.7005,35.4987,38.1989,,,,,,,,,,,
725,800,127,11.2694,127.161,19.6375,22.6414,,,,,,,,,,,
800,900,95,9.7468,89.6655,16.2306,18.9323,,,,,,,,,,,
900,1000,42,6.4807,49.5964,11.426,13.136,,,,,,,,,,,
1000,1100,25,5,26.1243,6.3161,8.0557,,,,,,,,,,,
1100,1200,12,3.4641,15.1923,3.0385,4.6078,,,,,,,,,,,
1200,1300,6,2.4495,8.6813,1.9011,3.1007,,,,,,,,,,,
1300,1400,6,2.4495,5.3741,1.4422,2.8425,,,,,,,,,,,
1400,1550,4,2,4.7235,1.2676,2.3679,,,,,,,,,,,
1550,1700,2,1.4142,2.1067,0.5173,1.5059,,,,,,,,,,,
1700,1850,2,1.4142,1.3933,0.4268,1.4772,,,,,,,,,,,
1850,2000,1,1,0.8866,0.477,1.1079,,,,,,,,,,,
2000,2200,1,1,0.422,0.219,1.0237,,,,,,,,,,,
2200,2400,2,1.4142,0.3236,0.1593,1.4232,,,,,,,,,,,
2400,2700,0,0,0.3568,0.1852,0.1852,,,,,,,,,,,
2700,3000,0,0,0.2853,0.1437,0.1437,,,,,,,,,,,
