ARXIV,arXiv:2205.06709,https://arxiv.org/abs/2205.06709,,,,,,,,,,,,,,,
SOURCE,hepdata: Table 2,https://doi.org/10.17182/hepdata.127302.v1/t2,,,,,,,,,,,,,,,
DESCRIPTION,Mass distributions for the e$\tau$ channel.,,,,,,,,,,,,,,,,
EXPERIMENT,CMS,,,,,,,,,,,,,,,,
PROCESS,p p > e \[Tau],,,,,,,,,,,,,,,,
FINALSTATE,"{e[1],e[3]} | {e[3],e[1]}",,,,,,,,,,,,,,,,
OBSERVABLE,"\!\(\*SubscriptBox[\(m\), \(e\[Tau]\)]\)",,,,,,,,,,,,,,,,
LUMINOSITY,138,,,,,,,,,,,,,,,,
CM_ENERGY,13000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
BINS_MLL,200,300,400,500,600,725,800,900,1000,1100,1200,1400,1700,2000,2400,2700,3000
BINS_PT,0,Infinity,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mll [GeV] LOW,mll [GeV] HIGH,NUM EVENTS,stat +-,BKG NUM EVENTS,BKG tot. error,tot. (sys+stat) error,,,,,,,,,,,
200,250,5594,74.793,5610,1569.2,1570.9814,,,,,,,,,,,
250,300,4170,64.5755,4367.15,1182.85,1184.6114,,,,,,,,,,,
300,350,2756,52.4976,2994.55,779.75,781.5152,,,,,,,,,,,
350,400,1816,42.6146,1918.35,499.18,500.9957,,,,,,,,,,,
400,450,1209,34.7707,1245.55,317.495,319.3933,,,,,,,,,,,
450,500,773,27.8029,822,206.375,208.2394,,,,,,,,,,,
500,550,544,23.3238,557.55,139.675,141.609,,,,,,,,,,,
550,600,320,17.8885,378.915,94.48,96.1586,,,,,,,,,,,
600,650,268,16.3707,261.2,65.325,67.345,,,,,,,,,,,
650,725,237,15.3948,265.0275,66.0578,67.8279,,,,,,,,,,,
725,800,176,13.2665,162.15,42.8708,44.8765,,,,,,,,,,,
800,900,134,11.5758,129.18,34.619,36.5031,,,,,,,,,,,
900,1000,79,8.8882,79.511,22.351,24.0534,,,,,,,,,,,
1000,1100,44,6.6332,47.482,13.338,14.8964,,,,,,,,,,,
1100,1200,36,6,27.383,7.6758,9.7426,,,,,,,,,,,
1200,1300,23,4.7958,17.947,5.7575,7.4933,,,,,,,,,,,
1300,1400,12,3.4641,11.48,3.689,5.0605,,,,,,,,,,,
1400,1550,10,3.1623,10.3161,3.3029,4.5726,,,,,,,,,,,
1550,1700,5,2.2361,5.2971,1.7798,2.8579,,,,,,,,,,,
1700,1850,3,1.7321,2.3396,0.811,1.9125,,,,,,,,,,,
1850,2000,4,2,2.0552,0.8012,2.1545,,,,,,,,,,,
2000,2200,0,0,1.4684,0.6383,0.6383,,,,,,,,,,,
2200,2400,0,0,0.4252,0.1344,0.1344,,,,,,,,,,,
2400,2700,0,0,0.5151,0.2418,0.2418,,,,,,,,,,,
2700,3000,0,0,0.3941,0.1555,0.1555,,,,,,,,,,,
